HARGA,LT,LB,JKT,JKM,GRS
1300000000.00,78,100,3,3,0
700000000.00,60,52,3,2,1
650000000.00,60,52,3,2,1
679000000.00,60,50,3,2,0
2200000000.00,110,200,4,4,0
1200000000.00,60,70,3,2,1
3750000000.00,321,220,5,5,1
15000000000.00,291,400,4,3,1
13500000000.00,500,640,5,5,1
15000000000.00,291,400,4,4,1
7050000000.00,128,315,3,3,1
13700000000.00,323,400,4,3,1
9500000000.00,239,436,4,4,1
14500000000.00,465,841,5,4,1
17000000000.00,392,500,4,4,1
32000000000.00,325,600,4,4,1
168000000000.00,1770,1000,5,5,1
30000000000.00,345,500,4,4,1
32000000000.00,430,600,4,4,1
180000000000.00,1442,1000,6,5,1
90000000000.00,1066,5000,8,6,1
35000000000.00,2600,700,5,5,1
23000000000.00,400,400,4,4,1
75000000000.00,1050,1500,5,5,1
68000000000.00,470,1000,5,5,1
135000000000.00,850,1000,5,4,1
165000000000.00,2122,1500,6,6,1
2800000000.00,75,150,4,2,1
12000000000.00,340,419,4,5,0
11000000000.00,769,400,4,3,1
33000000000.00,329,526,5,4,1
85000000000.00,770,500,4,4,1
3000000000.00,250,267,4,4,1
65000000000.00,586,600,5,4,1
7350000000.00,200,444,27,27,1
40000000000.00,340,850,5,5,1
120000000000.00,1050,998,5,5,1
110000000000.00,1050,2500,8,5,1
50000000000.00,912,600,5,4,1
5150000000.00,144,285,4,3,1
12500000000.00,875,578,6,5,1
2950000000.00,82,145,3,3,1
28000000000.00,490,500,5,4,1
15700000000.00,860,350,5,4,1
14900000000.00,291,400,4,4,0
15000000000.00,542,452,5,5,1
14500000000.00,325,450,3,3,1
72000000000.00,855,589,5,3,1
5200000000.00,390,250,3,2,1
7500000000.00,105,275,3,3,1
75000000000.00,3000,2000,4,4,1
8500000000.00,226,330,5,5,1
12500000000.00,340,419,4,4,0
6100000000.00,199,350,4,4,1
1280000000.00,72,78,3,2,0
30000000000.00,1100,800,5,6,1
11000000000.00,459,500,5,5,1
22900000000.00,680,850,4,4,0
9500000000.00,460,550,4,5,0
4970000000.00,161,300,5,3,0
42000000000.00,709,500,3,4,0
11000000000.00,256,350,4,4,1
28000000000.00,997,800,4,5,1
29900000000.00,680,650,6,6,0
12900000000.00,1145,400,6,4,0
4800000000.00,340,275,4,3,1
7000000000.00,248,240,4,2,0
15000000000.00,291,400,4,4,1
15000000000.00,1148,500,4,4,1
7300000000.00,385,270,3,2,1
4200000000.00,151,145,4,4,1
4500000000.00,203,100,4,3,1
23200000000.00,400,350,4,3,1
34000000000.00,525,525,4,4,1
7500000000.00,149,325,5,3,0
550000000.00,84,50,2,1,0
22000000000.00,616,800,6,5,1
1200000000.00,60,70,3,2,1
38000000000.00,320,1000,5,5,1
21000000000.00,560,700,5,5,1
60000000000.00,610,700,4,4,1
5800000000.00,126,256,3,3,1
15500000000.00,216,300,6,8,0
45000000000.00,483,1100,5,5,1
2700000000.00,310,400,6,4,1
1700000000.00,213,125,4,4,1
3250000000.00,146,70,6,2,1
7700000000.00,422,400,4,4,1
19700000000.00,903,600,3,3,1
1750000000.00,133,140,3,3,1
6750000000.00,350,200,3,2,1
30000000000.00,3000,500,4,4,1
23000000000.00,348,468,4,4,1
5000000000.00,212,195,4,3,1
55000000000.00,4035,1500,6,6,0
4800000000.00,290,240,4,3,1
430000000.00,25,40,2,2,0
4900000000.00,130,320,3,2,1
15000000000.00,290,400,4,3,1
28000000000.00,404,837,4,4,1
13000000000.00,616,600,5,4,1
15500000000.00,480,600,22,10,1
10500000000.00,1000,476,5,5,1
6500000000.00,250,280,3,2,1
4050000000.00,468,500,5,4,1
9000000000.00,355,400,6,5,1
5900000000.00,403,200,4,3,1
6500000000.00,400,300,4,4,1
8500000000.00,540,450,5,4,1
32000000000.00,325,600,4,8,1
21000000000.00,250,400,3,3,1
18000000000.00,290,450,4,3,1
8500000000.00,529,315,4,4,1
2800000000.00,170,169,4,4,0
28000000000.00,830,400,8,4,0
2950000000.00,170,230,5,2,0
7300000000.00,230,350,5,3,1
11000000000.00,268,400,5,4,1
5900000000.00,160,176,3,2,1
8000000000.00,555,284,4,5,1
4000000000.00,164,217,3,3,1
1300000000.00,62,110,3,3,1
1230000000.00,60,65,2,2,0
1200000000.00,65,60,2,2,1
38000000000.00,316,1000,5,5,1
4500000000.00,567,300,3,2,1
6000000000.00,347,120,4,3,1
25000000000.00,700,1200,5,7,1
7500000000.00,186,380,3,4,0
7000000000.00,200,300,3,3,0
15000000000.00,702,451,4,4,1
100000000000.00,945,700,4,4,1
3600000000.00,105,136,3,2,0
6500000000.00,210,330,4,4,0
29000000000.00,300,295,4,3,0
95000000000.00,3300,600,5,4,0
28000000000.00,404,837,4,4,0
10500000000.00,507,480,6,5,1
4970000000.00,154,300,5,3,1
68000000000.00,814,494,5,5,1
15000000000.00,291,400,7,6,1
2480000000.00,120,160,4,3,0
13500000000.00,380,400,5,4,1
11000000000.00,378,350,4,1,1
2190000000.00,111,125,3,2,1
4350000000.00,105,220,3,3,1
7800000000.00,206,300,4,4,1
30000000000.00,458,400,4,4,0
42000000000.00,630,500,5,4,1
1800000000.00,111,160,4,3,0
3900000000.00,360,250,5,3,0
169000000000.00,2122,1024,10,5,0
7500000000.00,220,305,4,4,0
27000000000.00,1752,712,3,2,1
6800000000.00,210,262,4,3,1
10500000000.00,300,378,4,3,0
13750000000.00,500,640,5,6,1
6900000000.00,210,330,4,4,1
5800000000.00,122,240,3,3,1
5500000000.00,180,350,4,3,1
6900000000.00,450,600,5,6,1
5900000000.00,160,300,3,2,1
28000000000.00,488,450,5,3,1
20000000000.00,292,800,27,27,0
77500000000.00,1148,1200,8,6,1
3250000000.00,105,140,3,3,1
1600000000.00,229,160,3,2,0
15000000000.00,400,500,4,5,1
25000000000.00,674,500,5,4,1
2200000000.00,105,124,3,3,1
6750000000.00,200,180,2,2,0
3600000000.00,136,180,3,2,0
1450000000.00,76,130,3,3,0
6400000000.00,235,310,5,4,1
1750000000.00,133,130,3,3,1
6750000000.00,187,337,6,4,1
85000000000.00,1180,1200,5,6,1
65000000000.00,472,1200,5,5,1
21000000000.00,321,800,5,6,1
4500000000.00,972,350,4,3,1
1530000000.00,78,107,3,3,0
3500000000.00,169,215,4,4,1
1100000000.00,65,100,3,3,1
3700000000.00,540,350,4,2,1
16000000000.00,488,550,6,5,1
4500000000.00,209,270,4,4,1
29000000000.00,692,400,4,3,0
1700000000.00,102,140,4,3,0
1250000000.00,63,110,3,3,0
